## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1150	170	0.25170367	0.09411889	0.00000222	0.00527103	0.00291701	0.64585962	0.00012382	0.00000375
OtsSALM18C_1151	170	0.00279288	0.03636700	0.00000833	0.01247931	0.94528686	0.00017666	0.00032558	0.00256339
OtsSALM18C_1152	170	0.02306729	0.45116605	0.00008209	0.00620626	0.51500575	0.00258716	0.00185873	0.00002668
OtsSALM18C_1153	169	0.00004941	0.00000584	0.00000000	0.00003736	0.00016391	0.99974345	0.00000001	0.00000003
OtsSALM18C_1154	170	0.00329191	0.01140074	0.00007374	0.19278066	0.75980066	0.03022263	0.00236432	0.00006534
OtsSALM18C_1155	169	0.01098125	0.04622271	0.00000004	0.00596752	0.93557683	0.00094324	0.00000233	0.00030609
OtsSALM18C_1156	170	0.65442058	0.30815476	0.00000577	0.00923138	0.00988649	0.01829682	0.00000397	0.00000022
OtsSALM18C_1157	169	0.00434120	0.01994876	0.00000012	0.08801312	0.17452193	0.40077220	0.13913828	0.17326439
OtsSALM18C_1158	170	0.50200045	0.05160145	0.00360654	0.35582293	0.06106314	0.00276893	0.00000189	0.02313466
OtsSALM18C_1159	170	0.26585774	0.06750929	0.00000794	0.06553919	0.59602450	0.00472224	0.00033770	0.00000139
OtsSALM18C_1160	168	0.01562604	0.01064466	0.00000000	0.21611493	0.29718567	0.46042483	0.00000050	0.00000337
OtsSALM18C_1161	169	0.87324705	0.03029765	0.00004453	0.01953513	0.07433456	0.00102801	0.00000161	0.00151145
OtsSALM18C_1162	169	0.71258725	0.06800109	0.00000346	0.19723817	0.01123956	0.01071588	0.00021444	0.00000015
OtsSALM18C_1163	169	0.02430487	0.03943555	0.00000058	0.00205484	0.28150683	0.62561037	0.02705777	0.00002919
OtsSALM18C_1164	169	0.79297708	0.01581586	0.00001235	0.00841811	0.05156234	0.12738689	0.00372837	0.00009899
OtsSALM18C_1165	167	0.19716016	0.01636891	0.00003555	0.01152277	0.12062034	0.01817771	0.63610561	0.00000894
OtsSALM18C_1166	170	0.00082603	0.01746421	0.00000015	0.00362655	0.61103506	0.13478719	0.23225637	0.00000444
OtsSALM18C_1167	169	0.03407847	0.00316238	0.00017603	0.00069337	0.10420338	0.85161845	0.00605874	0.00000918
OtsSALM18C_1168	170	0.15097354	0.01818586	0.00314435	0.04616835	0.07058520	0.71093406	0.00000407	0.00000458
OtsSALM18C_1169	167	0.60055275	0.00687916	0.00018131	0.02806536	0.34707150	0.01185809	0.00534156	0.00005027
