season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
17_18,7370A,3DD.0077588A34,7370,11W,110,15.5,fish,LLRTP,batch_1,2017-10-30T20:32:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,7385A,3DD.007759A105,7385,11W,120,20.7,fish,LLRTP,batch_1,2017-10-10T21:07:15Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,7400A,3DD.007758C782,7400,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:30:00Z,2017-10-19T12:47:00Z,"NA"
17_18,7415A,3DD.00775A6616,7415,11W,108,14.4,fish,LLRTP,on_off,2017-10-10T21:06:20Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,7430A,3DD.007759D3FF,7430,11W,116,18.8,fish,LLRTP,on_off,2017-10-30T20:32:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,8290A,"NA",8290,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:02:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,8305A,3DD.00775A070A,8305,11W,111,17.8,fish,LLRTP,batch_1,2017-10-10T21:29:24Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,8320A,3DD.00775A32F9,8320,11W,111,17,fish,LLRTP,batch_1,2017-10-10T21:04:17Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,8335A,3DD.00775820E9,8335,11W,110,17.2,fish,LLRTP,batch_1,2017-10-10T21:11:31Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,8350A,3DD.00775985B9,8350,11W,124,22.6,fish,LLRTP,batch_1,2017-10-30T20:38:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,8365A,"NA",8365,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:02:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,8380A,"NA",8380,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:46:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,8410A,3DD.00775887BC,8410,11W,102,12.7,fish,LLRTP,on_off,2017-10-30T20:35:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,8425A,3DD.0077583E62,8425,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:33:00Z,2017-10-19T13:27:00Z,"NA"
17_18,9255A,3DD.007759625E,9255,11W,112,15.2,fish,LLRTP,batch_1,2017-10-30T20:41:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,9285A,"NA",9285,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:02:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,9300A,"NA",9300,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:49:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,9315A,3DD.007759279F,9315,11W,109,14.4,fish,LLRTP,batch_1,2017-10-10T21:01:46Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,9330A,3DD.0077583987,9330,11W,109,15.6,fish,LLRTP,batch_1,2017-10-10T21:11:04Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,9360A,3DD.00775A7462,9360,11W,115,17.600000000000001,fish,LLRTP,batch_1,2017-10-10T21:07:43Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,9390A,3DD.007758D47E,9390,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:33:00Z,2017-10-19T12:42:00Z,"NA"
17_18,1295A,"NA",1295,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,1310A,"NA",1310,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,2275A,"NA",2275,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,2320A,"NA",2320,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,2425A,"NA",2425,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,3390A,"NA",3390,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,3435A,"NA",3435,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,4340A,"NA",4340,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,5305A,"NA",5305,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,5380A,"NA",5380,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,6405A,"NA",6405,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,8275A,"NA",8275,"NA","NA","NA","NA","NA",batch_1,NA,NA,Not Activated
17_18,8395A,"NA",8395,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,9420A,"NA",9420,"NA","NA","NA","NA","NA",on_off,NA,NA,Not Activated
17_18,1325A,"NA",1325,"NA","NA","NA",test,"NA",batch_1,2017-10-10T21:40:31Z,NA,"NA"
17_18,2440A,"NA",2440,"NA","NA","NA",test,"NA",on_off,2017-10-16T18:34:00Z,NA,"NA"
17_18,3300A,"NA",3300,"NA","NA","NA",test,"NA",batch_1,2017-10-16T18:51:00Z,NA,"NA"
17_18,6375A,"NA",6375,"NA","NA","NA",test,"NA",batch_1,2017-10-30T20:58:00Z,NA,"NA"
17_18,8260A,"NA",8260,"NA","NA","NA",test,"NA",batch_1,2017-10-30T20:37:00Z,NA,"NA"
17_18,9270A,"NA",9270,"NA","NA","NA",test,"NA",batch_1,2017-10-30T20:40:00Z,NA,"NA"
17_18,9345A,"NA",9345,"NA","NA","NA",test,"NA",batch_1,2017-10-10T21:39:58Z,NA,"NA"
17_18,9405A,"NA",9405,"NA","NA","NA",test,"NA",on_off,2017-10-10T21:39:12Z,NA,"NA"
18_19,1240B,3DD.00776F9989,1240,11W,109,13.8,fish,PAHTRP,batch_1,2018-10-22T21:36:15Z,2018-10-29T22:45:00Z,"NA"
18_19,1245B,"NA",1245,"NA","NA","NA",test,"NA",batch_1,2018-10-21T21:28:31Z,NA,"NA"
18_19,1250B,3DD.00777067B5,1250,11W,111,13.1,fish,LLRTP,batch_1,2018-10-22T21:34:50Z,2018-10-28T23:00:00Z,"NA"
18_19,1255B,3DD.007770FC89,1255,11W,117,13.5,fish,LLRTP,batch_1,2018-10-22T21:53:06Z,2018-10-24T00:00:00Z,"NA"
