"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:32 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:33 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:34 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:35 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:36 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:37 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:38 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:39 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:40 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:41 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:42 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:47 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:48 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:49 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:50 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:51 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:53 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:54 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:55 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:56 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:37:59 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:00 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:01 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:02 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:03 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:05 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:06 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:07 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:08 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:09 AM","","03","120","1"
"3DD.00776F7D12","Wild Fish or Natural Production","Observation","LLR","11/13/2019 4:38:11 AM","","03","120","1"
